"Position","Nation","PlayerName","Team"
"MF","NOR","Oscar Bobb","ManchesterCity"
"DF","ENG","Rico Lewis","ManchesterCity"
"GK","BRA","Alisson Becker (4th captain)","Liverpool"
"DF","ENG","Joe Gomez","Liverpool"
"MF","JPN","Wataru Endō","Liverpool"
"DF","NED","Virgil van Dijk (captain)","Liverpool"
"DF","FRA","Ibrahima Konaté","Liverpool"
"MF","ESP","Thiago Alcântara","Liverpool"
"FW","COL","Luis Díaz","Liverpool"
"MF","HUN","Dominik Szoboszlai","Liverpool"
"FW","URU","Darwin Núñez","Liverpool"
"MF","ARG","Alexis Mac Allister","Liverpool"
"FW","EGY","Mohamed Salah","Liverpool"
"GK","ESP","Adrián","Liverpool"
"MF","ENG","Curtis Jones","Liverpool"
"FW","NED","Cody Gakpo","Liverpool"
"Pos.","Nation","Player","Liverpool"
"MF","ENG","Harvey Elliott","Liverpool"
"FW","POR","Diogo Jota","Liverpool"
"DF","GRE","Kostas Tsimikas","Liverpool"
"DF","SCO","Andrew Robertson (3rd captain)","Liverpool"
"DF","CMR","Joël Matip","Liverpool"
"MF","NED","Ryan Gravenberch","Liverpool"
"MF","ESP","Stefan Bajcetic","Liverpool"
"GK","BRA","Marcelo Pitaluga","Liverpool"
"FW","SCO","Ben Doak","Liverpool"
"GK","IRL","Caoimhín Kelleher","Liverpool"
"DF","ENG","Trent Alexander-Arnold (vice-captain)","Liverpool"
"DF","ENG","Jarell Quansah","Liverpool"
"DF","NIR","Conor Bradley","Liverpool"
"GK","FRA","Hugo Lloris","TottenhamHotspur"
"MF","ENG","Oliver Skipp","TottenhamHotspur"
"MF","DEN","Pierre-Emile Højbjerg","TottenhamHotspur"
"FW","KOR","Son Heung-min (captain)","TottenhamHotspur"
"MF","MLI","Yves Bissouma","TottenhamHotspur"
"FW","BRA","Richarlison","TottenhamHotspur"
"MF","ENG","James Maddison (vice-captain)","TottenhamHotspur"
"MF","ESP","Bryan Gil","TottenhamHotspur"
"DF","BRA","Emerson Royal","TottenhamHotspur"
"GK","ITA","Guglielmo Vicario","TottenhamHotspur"
"MF","CRO","Ivan Perišić","TottenhamHotspur"
"DF","ENG","Eric Dier","TottenhamHotspur"
"DF","ARG","Cristian Romero (vice-captain)","TottenhamHotspur"
"MF","ARG","Giovani Lo Celso","TottenhamHotspur"
"MF","ENG","Ryan Sessegnon","TottenhamHotspur"
"GK","ENG","Fraser Forster","TottenhamHotspur"
"FW","SWE","Dejan Kulusevski","TottenhamHotspur"
"FW","WAL","Brennan Johnson","TottenhamHotspur"
"DF","ESP","Pedro Porro","TottenhamHotspur"
"FW","ISR","Manor Solomon","TottenhamHotspur"
"MF","SEN","Pape Matar Sarr","TottenhamHotspur"
"MF","URU","Rodrigo Bentancur","TottenhamHotspur"
"DF","WAL","Ben Davies","TottenhamHotspur"
"DF","ENG","Ashley Phillips","TottenhamHotspur"
"FW","ARG","Alejo Véliz","TottenhamHotspur"
"DF","NED","Micky van de Ven","TottenhamHotspur"
"DF","ITA","Destiny Udogie","TottenhamHotspur"
"GK","ENG","Brandon Austin","TottenhamHotspur"
"GK","ENG","Alfie Whiteman","TottenhamHotspur"
"GK","ARG","Emiliano Martínez (vice-captain)","AstonVilla"
"DF","POL","Matty Cash","AstonVilla"
"DF","BRA","Diego Carlos (vice-captain)","AstonVilla"
"DF","ENG","Ezri Konsa","AstonVilla"
"DF","ENG","Tyrone Mings","AstonVilla"
"MF","BRA","Douglas Luiz","AstonVilla"
"MF","SCO","John McGinn (captain)","AstonVilla"
"MF","BEL","Youri Tielemans","AstonVilla"
"MF","BFA","Bertrand Traoré","AstonVilla"
"MF","ARG","Emiliano Buendía","AstonVilla"
"FW","ENG","Ollie Watkins","AstonVilla"
"DF","FRA","Lucas Digne","AstonVilla"
"DF","ESP","Pau Torres","AstonVilla"
"DF","ESP","Àlex Moreno","AstonVilla"
"DF","ENG","Calum Chambers","AstonVilla"
"DF","FRA","Clément Lenglet (on loan from Barcelona)","AstonVilla"
